last_tag_seen	tag_visible	tag_x_coord	tag_distance	bumping	drive_command
d	d	c	c	d	d
2	f	237	244	f	l
2	f	237	244	f	l
2	f	237	244	f	l
2	f	237	244	f	l
2	f	237	244	f	l
2	f	237	244	f	l
3	t	29	1865	f	l
3	t	27	1800	f	l
3	t	44	1944	f	l
3	t	66	2056	f	l
3	t	64	1997	f	l
3	t	64	2002	f	l
3	t	65	1998	f	l
3	t	82	2049	f	l
3	t	78	2052	f	l
3	t	78	2055	f	l
3	t	78	2056	f	f
3	t	95	2189	f	f
3	t	117	2182	f	f
3	t	127	2244	f	f
3	t	127	2213	f	f
3	t	127	2265	f	f
3	t	127	2226	f	f
3	t	127	2249	f	f
3	t	127	2222	f	f
3	t	127	2244	f	f
3	t	127	2262	f	f
3	t	127	2244	f	f
3	t	126	2211	f	f
3	t	123	2176	f	f
3	t	123	2089	f	f
3	t	123	2019	f	f
0	t	122	1695	f	f
3	t	122	1926	f	f
3	t	121	1824	f	f
3	t	123	1787	f	f
3	t	124	1687	f	f
3	f	124	1687	f	f
3	f	124	1687	f	f
3	f	124	1687	f	f
3	f	124	1687	f	f
3	f	124	1687	f	f
3	f	124	1687	f	f
3	f	124	1687	f	f
0	t	124	1716	f	f
0	f	124	1716	f	f
0	f	124	1716	f	f
0	f	124	1716	f	f
0	f	124	1716	f	f
0	f	124	1716	f	f
0	f	124	1716	f	f
0	f	124	1716	f	f
3	t	124	1626	f	f
3	t	107	921	f	f
3	t	104	872	f	f
3	t	100	746	f	f
3	t	98	761	f	f
3	t	92	649	f	f
3	t	90	621	f	f
3	t	81	549	f	l
3	t	73	491	f	l
3	t	73	507	f	l
3	t	77	511	f	l
3	t	108	533	f	l
3	t	135	539	f	l
3	t	132	540	f	l
3	t	136	538	f	r
3	t	169	537	f	r
3	t	164	539	f	r
3	t	163	511	f	r
3	t	163	513	f	r
3	t	163	514	f	r
3	t	161	513	f	r
3	t	130	514	f	f
3	t	106	509	f	f
3	t	107	507	f	f
3	t	106	509	f	f
3	t	106	509	f	f
3	t	107	533	f	f
3	t	105	500	f	f
3	t	98	464	f	f
3	t	96	413	f	f
3	t	91	376	f	f
3	t	85	323	f	f
3	t	76	279	f	f
3	f	76	279	f	f
3	f	76	279	f	l
3	f	76	279	f	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	l
3	f	76	279	t	s
3	f	76	279	t	s
3	f	76	279	t	s
3	f	76	279	t	s
3	f	76	279	t	s
3	f	76	279	t	s
3	f	76	279	t	s
3	f	76	279	t	s
3	f	76	279	t	s
3	f	76	279	t	s
3	f	76	279	t	s
3	f	76	279	t	s
3	f	76	279	t	s
3	f	76	279	t	s
3	f	76	279	t	s
3	f	76	279	t	s
3	f	76	279	t	s
3	f	76	279	t	s
3	f	76	279	t	s
3	f	76	279	t	s
3	f	76	279	t	s
3	f	76	279	t	s
3	f	76	279	t	s
0	t	160	1200	f	f
0	t	160	1200	f	f
0	t	160	1199	f	f
0	t	160	1196	f	f
0	t	160	1199	f	f
0	t	160	1197	f	f
0	t	160	1197	f	f
0	t	160	1197	f	f
0	t	160	1201	f	f
0	t	160	1196	f	f
0	t	160	1196	f	f
0	t	161	1321	f	f
0	t	160	1210	f	f
0	t	158	1193	f	f
0	t	158	1170	f	f
0	t	157	1115	f	f
0	t	156	1054	f	f
0	t	155	1019	f	f
0	t	153	1016	f	f
0	t	153	1008	f	f
0	t	153	1005	f	f
0	t	153	1000	f	f
0	t	153	1029	f	f
0	t	151	955	f	f
0	t	152	986	f	f
0	t	152	919	f	f
0	t	151	816	f	f
0	t	151	828	f	f
0	t	151	750	f	f
0	t	152	749	f	f
0	t	151	734	f	f
0	t	150	749	f	f
0	t	150	753	f	f
0	t	150	753	f	f
0	t	150	749	f	f
0	f	150	749	f	f
0	t	150	753	f	f
0	t	150	749	f	f
0	t	150	749	f	f
0	t	147	725	f	f
0	t	147	634	f	f
0	t	146	585	f	f
0	t	145	528	f	f
0	t	143	505	f	f
0	t	142	488	f	l
0	t	141	406	f	l
0	t	141	406	f	l
0	t	136	363	f	l
0	t	136	368	f	l
0	t	135	363	f	l
0	t	134	365	f	l
0	t	135	363	f	l
0	t	135	369	f	l
0	t	135	363	f	l
0	t	146	362	f	f
0	t	175	367	f	f
0	t	171	384	f	f
0	t	171	369	f	f
0	t	171	369	f	f
0	t	172	338	f	f
0	t	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
0	f	179	290	f	r
1	t	256	1165	f	r
1	t	239	1229	f	r
1	t	239	1209	f	r
1	t	239	1215	f	r
1	t	239	1214	f	r
1	t	239	1216	f	r
1	t	226	1250	f	r
1	t	203	1273	f	r
1	t	188	1319	f	r
1	t	188	1313	f	r
1	t	188	1312	f	r
1	t	188	1311	f	r
1	t	188	1305	f	r
1	t	188	1314	f	r
1	t	188	1311	f	f
1	t	172	1336	f	f
1	t	160	1333	f	f
1	t	162	1338	f	f
1	t	162	1323	f	f
1	t	162	1320	f	f
1	t	162	1315	f	f
1	t	162	1331	f	f
1	t	160	1306	f	f
1	t	161	1287	f	f
1	t	163	1232	f	r
1	t	165	1178	f	r
1	t	163	1137	f	r
1	t	164	1138	f	r
1	t	164	1144	f	r
1	t	164	1148	f	r
1	t	164	1144	f	r
1	t	163	1134	f	l
1	t	151	1149	f	l
1	t	153	1155	f	l
1	t	153	1151	f	l
1	t	153	1154	f	l
1	t	153	1153	f	f
1	t	169	1143	f	f
1	t	165	1137	f	f
1	t	165	1133	f	f
1	t	165	1133	f	f
1	t	165	1134	f	f
1	t	165	1139	f	f
1	t	164	1091	f	f
1	t	162	1048	f	fr
1	t	162	979	f	f
1	t	159	933	f	f
1	t	149	883	f	l
1	t	148	828	f	l
1	t	146	806	f	l
1	t	146	812	f	l
1	t	146	811	f	l
1	t	146	811	f	l
1	t	146	812	f	l
1	t	146	811	f	f
1	t	158	819	f	f
1	t	163	806	f	f
1	t	163	803	f	f
1	t	163	803	f	f
1	t	163	804	f	f
1	t	163	805	f	f
1	t	167	762	f	f
1	t	170	703	f	fr
1	t	172	652	f	f
1	t	163	608	f	f
1	t	162	557	f	f
1	t	161	512	f	f
1	t	160	513	f	f
1	t	159	488	f	f
1	t	159	488	f	f
1	t	159	488	f	f
1	t	159	487	f	f
1	t	159	487	f	f
1	t	159	509	f	f
1	t	157	469	f	f
1	t	156	412	f	f
1	t	154	375	f	f
1	t	152	367	f	f
1	t	152	367	f	f
1	t	153	380	f	f
1	t	153	379	f	f
1	t	148	346	f	f
1	f	148	346	f	l
1	f	148	346	f	l
1	f	148	346	f	l
1	f	148	346	f	l
1	f	148	346	f	l
1	f	148	346	f	l
1	f	148	346	f	l
